1	 10	 normal	          0 	          0 	 0.00000000	 0.00000000
1	 10	 redblk	          0 	          0 	 0.00000000	 0.00000000
2	 10	 normal	          1 	          1 	 0.00000000	 0.00000000
2	 10	 redblk	          1 	          1 	 0.00000000	 0.00000000
4	 10	 normal	          2 	          3 	 0.00000000	 0.00000000
4	 10	 redblk	          2 	          2 	 0.00010000	 0.00031623
8	 10	 normal	          3 	          7 	 0.00000000	 0.00000000
8	 10	 redblk	          3 	          3 	 0.00000000	 0.00000000
16	 10	 normal	          4 	         15 	 0.00000000	 0.00000000
16	 10	 redblk	          4 	          4 	 0.00010000	 0.00031623
32	 10	 normal	          5 	         31 	 0.00000000	 0.00000000
32	 10	 redblk	          5 	          5 	 0.00010000	 0.00031623
64	 10	 normal	          6 	         63 	 0.00020000	 0.00042164
64	 10	 redblk	          6 	          6 	 0.00010000	 0.00031623
128	 10	 normal	          7 	        127 	 0.00030000	 0.00048305
128	 10	 redblk	          7 	          7 	 0.00000000	 0.00000000
256	 10	 normal	          8 	        255 	 0.00050000	 0.00052705
256	 10	 redblk	          8 	          8 	 0.00020000	 0.00042164
512	 10	 normal	          9 	        511 	 0.00310000	 0.00031623
512	 10	 redblk	          9 	          9 	 0.00010000	 0.00031623
1024	 10	 normal	         10 	       1023 	 0.00360000	 0.00096609
1024	 10	 redblk	         10 	         10 	 0.00020000	 0.00042164
2048	 10	 normal	         11 	       2047 	 0.02220000	 0.01373398
2048	 10	 redblk	         11 	         11 	 0.00040000	 0.00069921
4096	 10	 normal	         12 	       4095 	 0.05980000	 0.00161933
4096	 10	 redblk	         12 	         12 	 0.00050000	 0.00070711
8192	 10	 normal	         13 	       8191 	 0.23990000	 0.00422821
8192	 10	 redblk	         13 	         13 	 0.00130000	 0.00105935
16384	 10	 normal	         14 	      16383 	 1.01910000	 0.02185025
16384	 10	 redblk	         14 	         14 	 0.00240000	 0.00164655
1	 10	 normal	          0 	          0 	 0.00000000	 0.00000000
1	 10	 redblk	          0 	          0 	 0.00000000	 0.00000000
2	 10	 normal	          1 	          1 	 0.00000000	 0.00000000
2	 10	 redblk	          1 	          1 	 0.00000000	 0.00000000
4	 10	 normal	          2 	          3 	 0.00000000	 0.00000000
4	 10	 redblk	          2 	          2 	 0.00000000	 0.00000000
8	 10	 normal	          3 	          7 	 0.00000000	 0.00000000
8	 10	 redblk	          3 	          3 	 0.00010000	 0.00031623
16	 10	 normal	          4 	         15 	 0.00000000	 0.00000000
16	 10	 redblk	          4 	          4 	 0.00000000	 0.00000000
32	 10	 normal	          5 	         31 	 0.00000000	 0.00000000
